"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","95","shows warning if fields are empty","LoginView.vue","Wed Dec 10 09:32:22 UTC 2025","passed","Wed Dec 10 09:32:22 UTC 2025","","","",""
"","15","renders image attachment","MessageBubble.vue","Wed Dec 10 09:32:21 UTC 2025","passed","Wed Dec 10 09:32:21 UTC 2025","","","",""
"","5","attaches auth interceptor on creation","ApiService","Wed Dec 10 09:32:17 UTC 2025","passed","Wed Dec 10 09:32:17 UTC 2025","","","",""
"","0","constructs url for relative path","chatUtils","Wed Dec 10 09:32:23 UTC 2025","passed","Wed Dec 10 09:32:23 UTC 2025","","getFileUrl","",""
"","10","emits send event on Enter key","ChatInput.vue","Wed Dec 10 09:32:19 UTC 2025","passed","Wed Dec 10 09:32:20 UTC 2025","","","",""
"","13","calls store.selectChat when sidebar emits select","ChatView.vue","Wed Dec 10 09:32:19 UTC 2025","passed","Wed Dec 10 09:32:19 UTC 2025","","","",""
"","1","logout clears tokens and state","AuthService","Wed Dec 10 09:32:21 UTC 2025","passed","Wed Dec 10 09:32:21 UTC 2025","","","",""
"","1","does nothing if ref is null","useAutoResize","Wed Dec 10 09:32:24 UTC 2025","passed","Wed Dec 10 09:32:24 UTC 2025","","","",""
"","13","redirects unauthenticated user to login when accessing protected route","Router Guards","Wed Dec 10 09:32:21 UTC 2025","passed","Wed Dec 10 09:32:21 UTC 2025","","","",""
"","0","resets height to auto","useAutoResize","Wed Dec 10 09:32:24 UTC 2025","passed","Wed Dec 10 09:32:24 UTC 2025","","","",""
"","0","handles single character names","chatUtils","Wed Dec 10 09:32:23 UTC 2025","passed","Wed Dec 10 09:32:23 UTC 2025","","getInitials","",""
"","19","renders main chat area only when activeChat is set","ChatView.vue","Wed Dec 10 09:32:19 UTC 2025","passed","Wed Dec 10 09:32:19 UTC 2025","","","",""
"","12","init loads chats and connects signalr","Chat Store","Wed Dec 10 09:32:17 UTC 2025","passed","Wed Dec 10 09:32:18 UTC 2025","","","",""
"","8","shows sender email in global chat for others","MessageBubble.vue","Wed Dec 10 09:32:21 UTC 2025","passed","Wed Dec 10 09:32:21 UTC 2025","","","",""
"","7","calls store.createPrivateChat when sidebar emits create","ChatView.vue","Wed Dec 10 09:32:19 UTC 2025","passed","Wed Dec 10 09:32:19 UTC 2025","","","",""
"","27","renders chat name correctly","ChatHeader.vue","Wed Dec 10 09:32:24 UTC 2025","passed","Wed Dec 10 09:32:24 UTC 2025","","","",""
"","4","sendMessage uploads file and invokes signalr","Chat Store","Wed Dec 10 09:32:18 UTC 2025","passed","Wed Dec 10 09:32:18 UTC 2025","","","",""
"","27","emits create event when submitting form","CreateChatDialog.vue","Wed Dec 10 09:32:23 UTC 2025","passed","Wed Dec 10 09:32:23 UTC 2025","","","",""
"","48","renders sidebar","ChatView.vue","Wed Dec 10 09:32:19 UTC 2025","passed","Wed Dec 10 09:32:19 UTC 2025","","","",""
"","5","does not emit if empty","ChatInput.vue","Wed Dec 10 09:32:20 UTC 2025","passed","Wed Dec 10 09:32:20 UTC 2025","","","",""
"","0","returns absolute url as is","chatUtils","Wed Dec 10 09:32:23 UTC 2025","passed","Wed Dec 10 09:32:23 UTC 2025","","getFileUrl","",""
"","9","calls store.sendMessage when input emits send","ChatView.vue","Wed Dec 10 09:32:19 UTC 2025","passed","Wed Dec 10 09:32:19 UTC 2025","","","",""
"","25","calls auth.login with correct data","LoginView.vue","Wed Dec 10 09:32:22 UTC 2025","passed","Wed Dec 10 09:32:22 UTC 2025","","","",""
